Date,New cases,New cases (weekly reporting),Cumulative epidemiological link cases,Cumulative cases,Cumulative Vancouver Coastal,Cumulative Fraser Health,Cumulative Island Health ,Cumulative Interior Health,Cumulative Northern Health,Out of province,Hospitalization (Currently in hospital,Hospital admissions (reported weekly),ICU (Currently in ICU,Recovered,Deaths,Deaths (reported weekly),Cumulative deaths,Active cases,New tests,Tests performed,Positivity rate,Cumulative positivity rate,Omicron cases (cumulative),B.1.1.7 (UK Cumulative total,B.1.351 (SA Cumulative total,P.1 (Brazil Cumulative total,B.1.525 (Nigeria Cumulative total,"Active (""confirmed"" VOC",http://www.bccdc.ca/about/news-stories/stories/2020/information-on-novel-coronavirus,Reported #s are typically from the previous day (two days in the case of Mondays.,
2020-01-28,1,,,1,1,0,0,0,0,,,,,,0,,0,1,,,,,,,,,,,"""The person had returned from Wuhan and began experiencing symptoms on January 26, with self-isolation beginning immediately.""",,#VALUE!
2020-02-04,1,,,2,2,0,0,0,0,,,,,,0,,0,2,,,,,,,,,,,,,0
2020-02-06,2,,,4,4,0,0,0,0,,,,,,0,,0,4,,,,,,,,,,,,,0
2020-02-14,1,,,5,4,0,0,1,0,,,,,,0,,0,5,,,,,,,,,,,,,1
2020-02-20,1,,,6,4,1,0,1,0,,,,,,0,,0,6,,,,,,,,,,,,,-1
2020-02-24,1,,,7,4,2,0,1,0,,,,,,0,,0,7,,,,,,,,,,,,,-1
2020-03-03,5,,,12,8,3,0,1,0,,,,,,0,,0,12,,,,,,,,,,,Two press releases on 03 - MAR ,,-1
2020-03-04,1,,,13,9,3,0,1,0,,,,,,0,,0,13,,,,,,,,,,,,,0
2020-03-05,8,,,21,15,5,0,1,0,,,,,,0,,0,21,,,,,,,,,,,Press release from march 5th mis-labelled on CDC website as march 6th; data reported as march 5th per the time stamp on the release. ,,-2
2020-03-06,0,,,21,15,5,0,1,0,,,,,,0,,0,21,,,,,,,,,,,,,0
2020-03-07,6,,,27,17,9,0,1,0,,,,,,0,,0,27,,,,,,,,,,,,,-4
2020-03-08,-,,,-,-,-,-,-,-,,-,,-,-,-,,-,,,,,,,,,,,,Data not reported on Sunday (next day is two day totals,,#VALUE!
2020-03-09,5,,,32,19,12,0,1,0,,,,,,1,,1,31,,,,,,,,,,,"""Lynn Valley outbreak resulted in Canada's first death""",,#VALUE!
2020-03-10,7,,,39,24,14,0,1,0,,,,,,0,,1,38,,,,,,,,,,,,,-2
2020-03-11,7,,,46,26,18,1,1,0,,,,,,0,,1,45,,,,,,,,,,,,,-4
2020-03-12,7,,,53,32,19,1,1,0,,,,,,0,,1,52,,,,,,,,,,,Two long-term care facility staff were named in this report but not the health region where they reside - one has been allocated to VCH and the other to Fraser,,-1
2020-03-13,11,,,64,43,19,1,1,0,,,,,,0,,1,63,,,,,,,,,,,,,0
2020-03-14,9,,,73,50,20,1,2,0,,,,,,0,,1,72,,,,,,,,,,,,,0
2020-03-15,-,,,-,-,-,-,-,-,,-,,-,-,-,,-,,,,,,,,,,,,Data not reported on Sunday (next day is two day totals,,#VALUE!
2020-03-16,30,,,103,-,-,-,-,-,,6,,-,-,3,,4,,,,,,,,,,,,"No regional data reported here, focus was on pacific dental conference",,#VALUE!
